samlpe:1
direct band gap: wevelength=251.729549238nm energy=4.92592150487eV
	linear fit coefficient: slope=3302.67616762 intercept=-16268.7235577 r=0.990583817164
indirect band gap: wevelength=268.535431803nm energy=4.61764018131eV
	linear fit coefficient: slope=9.88591908185 intercept=-45.6496171816 r=0.994073460789
datas:
wavelength	R	hv	F(R)	(hvF(R))^2	(hvF(R))^1/2
262.0	0.44307	4.73282442748	0.350024854876	2.74434404682	1.28709214254
262.5	0.45586	4.72380952381	0.324757973501	2.35344688041	1.23858580977
263.0	0.46799	4.71482889734	0.302393897412	2.03272167575	1.19404166003
263.5	0.48157	4.70588235294	0.279055656395	1.72450235274	1.14595073582
264.0	0.49358	4.69696969697	0.259797010009	1.48903125435	1.10465319597
264.5	0.50616	4.68809073724	0.240909935198	1.27556160761	1.06273592003
265.0	0.51758	4.67924528302	0.224824236253	1.10672029974	1.02567428894
265.5	0.52853	4.67043314501	0.210285093467	0.964564546921	0.991020923305
266.0	0.54071	4.66165413534	0.195065103383	0.82687385765	0.953585888027
266.5	0.5524	4.65290806754	0.181341202028	0.711937589637	0.918566242517
267.0	0.56522	4.64419475655	0.167221301794	0.603120440719	0.881253818701
267.5	0.57759	4.63551401869	0.154460956821	0.512664492772	0.846171336481
268.0	0.58546	4.62686567164	0.146759310286	0.461089366107	0.824036173208
268.5	0.59419	4.61824953445	0.138576680944	0.409576566421	0.799988557577
269.0	0.60269	4.60966542751	0.130958897692	0.364425561885	0.776966346192
269.5	0.61038	4.60111317254	0.124351833612	0.327363472057	0.756410510015
270.0	0.61964	4.59259259259	0.116740147182	0.287446030124	0.732215770936
270.5	0.63025	4.58410351201	0.108460977787	0.247204209646	0.705121513775
271.0	0.6386	4.57564575646	0.102262730974	0.218947283758	0.684045342814
271.5	0.64748	4.56721915285	0.0959646246988	0.192099414359	0.662035853954
272.0	0.65816	4.55882352941	0.0887736915036	0.163784998688	0.636163181597
272.5	0.66437	4.5504587156	0.0847776817888	0.148824156816	0.621109765648
273.0	0.67264	4.54212454212	0.0796596764986	0.130916731184	0.601518222203
273.5	0.67708	4.53382084095	0.0770051739824	0.121890124836	0.590870258739
274.0	0.68346	4.52554744526	0.0733017086589	0.110045031981	0.575960380889
274.5	0.69048	4.51730418944	0.0693739358128	0.0982090117937	0.5598063691
275.0	0.69353	4.50909090909	0.0677143460989	0.093226495864	0.552566866913
275.5	0.7014	4.50090744102	0.0635599942971	0.0818404225635	0.534862273191
276.0	0.70432	4.49275362319	0.0620645888233	0.0777522510303	0.528053885799
276.5	0.70789	4.48462929476	0.0602694289367	0.07305454698	0.519890417865
277.0	0.71379	4.47653429603	0.0573811373793	0.065981492782	0.506822088532
277.5	0.71873	4.46846846847	0.0550365317296	0.0604810763106	0.495912297334
278.0	0.7258	4.46043165468	0.0517950124001	0.0533739889334	0.480653838915
278.5	0.73091	4.45242369838	0.0495337511458	0.0486402061823	0.469622452052
279.0	0.73596	4.44444444444	0.0473647491712	0.0443144585491	0.458813683663
279.5	0.73912	4.43649373882	0.0460401385431	0.0417208347827	0.451947769528
280.0	0.743	4.42857142857	0.0444475100942	0.0387455813997	0.443665384354
280.5	0.74849	4.42067736185	0.0422565966813	0.034895278742	0.432206872155
281.0	0.75323	4.4128113879	0.0404228674508	0.03181888563	0.422348777456
281.5	0.75865	4.40497335702	0.0383904451987	0.02859781609	0.411228511006
282.0	0.76051	4.39716312057	0.0377085509066	0.0274931714467	0.407198538034
282.5	0.76236	4.38938053097	0.0370381247704	0.0264304432645	0.403205188175
283.0	0.76349	4.3816254417	0.0366324248517	0.025763320367	0.400636449566
283.5	0.76451	4.37389770723	0.0362686819662	0.0251652234137	0.398290729112
284.0	0.77238	4.3661971831	0.033539750123	0.0214450140769	0.382676315584
284.5	0.77808	4.35852372583	0.0316474439646	0.0190263774441	0.371397543586
285.0	0.78465	4.35087719298	0.0295517890142	0.0165318404495	0.358575242918
285.5	0.78876	4.34325744308	0.0282863847051	0.0150933635337	0.35050684859
286.0	0.78835	4.33566433566	0.0284110626625	0.0151735171565	0.350971268232
286.5	0.79254	4.32809773124	0.0271529838242	0.0138111308374	0.342813021465
287.0	0.79332	4.32055749129	0.0269226934906	0.0135305855208	0.341058712023
287.5	0.79814	4.31304347826	0.025526511389	0.0121213391632	0.331808609697
288.0	0.79915	4.30555555556	0.0252397688169	0.0118094355452	0.329653191779
288.5	0.79651	4.29809358752	0.0259935092466	0.0124819249184	0.334249211532
289.0	0.7999	4.29065743945	0.0250281347668	0.0115320005506	0.327699790407
289.5	0.79962	4.28324697755	0.0251070160826	0.0115647549758	0.327932234999
290.0	0.80052	4.27586206897	0.024854013891	0.0112938092412	0.325994379182
290.5	0.80418	4.26850258176	0.0238413492004	0.0103564939193	0.319009185784
291.0	0.80281	4.26116838488	0.0242173715449	0.0106490631381	0.321238693174
291.5	0.8036	4.2538593482	0.024000099552	0.0104229904167	0.319520027286
292.0	0.80536	4.24657534247	0.0235203695242	0.00997621840936	0.316039588133
