"Storage 193957 - RawData - F:\201701009\2017-2896\1.spc"
"²¨³¤(nm)","T%"
397.00,91.646
397.50,91.719
398.00,91.562
398.50,91.583
399.00,91.585
399.50,91.547
400.00,91.539
400.50,91.521
401.00,91.565
401.50,91.440
402.00,91.385
402.50,91.371
403.00,91.248
403.50,91.222
404.00,91.267
404.50,91.476
405.00,91.678
405.50,91.812
406.00,91.943
406.50,91.881
407.00,91.759
407.50,91.727
408.00,91.515
408.50,91.455
409.00,91.551
409.50,91.554
410.00,91.628
410.50,91.602
411.00,91.499
411.50,91.635
412.00,91.864
412.50,92.090
413.00,92.252
413.50,92.183
414.00,92.137
414.50,91.983
415.00,91.815
415.50,91.800
416.00,91.776
416.50,91.852
417.00,92.065
417.50,92.117
418.00,92.133
418.50,92.072
419.00,92.009
419.50,91.988
420.00,91.943
420.50,91.972
421.00,92.027
421.50,91.934
422.00,92.003
422.50,91.907
423.00,91.766
423.50,91.815
424.00,91.757
424.50,91.945
425.00,92.128
425.50,92.197
426.00,92.216
426.50,92.085
427.00,91.992
427.50,91.953
428.00,91.927
428.50,91.876
429.00,91.779
429.50,91.747
430.00,91.672
430.50,91.736
431.00,91.698
431.50,91.595
432.00,91.548
432.50,91.548
433.00,91.595
433.50,91.698
434.00,91.876
434.50,91.904
435.00,91.917
435.50,91.928
436.00,91.830
436.50,91.817
437.00,91.910
437.50,91.856
438.00,91.884
438.50,91.815
439.00,91.553
439.50,91.499
440.00,91.476
440.50,91.397
441.00,91.446
441.50,91.518
442.00,91.489
442.50,91.527
443.00,91.606
443.50,91.664
444.00,91.650
444.50,91.742
445.00,91.760
445.50,91.707
446.00,91.769
446.50,91.679
447.00,91.537
447.50,91.425
448.00,91.287
448.50,91.280
449.00,91.354
449.50,91.489
450.00,91.641
450.50,91.705
451.00,91.754
451.50,91.795
452.00,91.780
452.50,91.789
453.00,91.797
453.50,91.872
454.00,91.969
454.50,91.933
455.00,91.960
455.50,91.849
456.00,91.760
456.50,91.853
457.00,91.899
457.50,91.922
458.00,92.046
458.50,91.986
459.00,91.949
459.50,91.928
460.00,91.916
460.50,91.919
461.00,91.911
461.50,91.902
462.00,91.805
462.50,91.833
463.00,91.731
463.50,91.815
464.00,91.943
464.50,92.065
465.00,92.287
465.50,92.357
466.00,92.357
466.50,92.340
467.00,92.384
467.50,92.357
468.00,92.419
468.50,92.461
469.00,92.580
469.50,92.688
470.00,92.622
470.50,92.705
471.00,92.688
471.50,92.746
472.00,92.807
472.50,92.796
473.00,92.761
473.50,92.705
474.00,92.755
474.50,92.847
475.00,92.886
475.50,92.998
476.00,93.152
476.50,93.141
477.00,93.172
477.50,93.121
478.00,93.076
478.50,93.118
479.00,93.245
479.50,93.410
480.00,93.546
480.50,93.803
481.00,93.813
481.50,93.810
482.00,93.773
482.50,93.616
483.00,93.697
483.50,93.753
484.00,93.787
484.50,93.784
485.00,93.748
485.50,93.826
486.00,93.860
486.50,94.008
487.00,94.083
487.50,94.104
488.00,94.263
488.50,94.232
489.00,94.183
489.50,94.218
490.00,94.220
490.50,94.302
491.00,94.455
491.50,94.572
492.00,94.640
492.50,94.559
493.00,94.569
493.50,94.669
494.00,94.637
494.50,94.832
495.00,94.839
495.50,94.612
496.00,94.604
496.50,94.508
497.00,94.524
497.50,94.565
498.00,94.516
498.50,94.589
499.00,94.624
499.50,94.685
500.00,94.788
500.50,94.827
501.00,94.792
501.50,94.821
502.00,94.820
502.50,94.742
503.00,94.818
503.50,94.846
504.00,94.881
504.50,95.000
505.00,95.088
505.50,95.180
506.00,95.204
506.50,95.248
507.00,95.258
507.50,95.187
508.00,95.161
508.50,95.193
509.00,95.131
509.50,95.183
510.00,95.171
510.50,95.125
511.00,95.174
511.50,95.294
512.00,95.486
512.50,95.580
513.00,95.610
513.50,95.525
514.00,95.392
514.50,95.261
515.00,95.210
515.50,95.198
516.00,95.268
516.50,95.418
517.00,95.490
517.50,95.508
518.00,95.518
518.50,95.496
519.00,95.529
519.50,95.587
520.00,95.662
520.50,95.671
521.00,95.740
521.50,95.737
522.00,95.695
522.50,95.700
523.00,95.674
523.50,95.702
524.00,95.694
524.50,95.657
525.00,95.612
525.50,95.450
526.00,95.451
526.50,95.421
527.00,95.268
527.50,95.395
528.00,95.389
528.50,95.512
529.00,95.842
529.50,95.880
530.00,95.905
530.50,95.747
531.00,95.511
531.50,95.439
532.00,95.319
532.50,95.415
533.00,95.638
533.50,95.711
534.00,95.786
534.50,95.857
535.00,95.677
535.50,95.630
536.00,95.607
536.50,95.508
537.00,95.517
537.50,95.482
538.00,95.486
538.50,95.509
539.00,95.520
539.50,95.587
540.00,95.654
540.50,95.622
541.00,95.674
541.50,95.648
542.00,95.575
542.50,95.595
543.00,95.511
543.50,95.439
544.00,95.488
544.50,95.522
545.00,95.688
545.50,95.825
546.00,95.795
546.50,95.703
547.00,95.514
547.50,95.422
548.00,95.345
548.50,95.389
549.00,95.427
549.50,95.477
550.00,95.566
550.50,95.450
551.00,95.325
551.50,95.224
552.00,95.163
552.50,95.253
553.00,95.343
553.50,95.293
554.00,95.338
554.50,95.184
555.00,95.125
555.50,95.120
556.00,95.006
556.50,95.065
