"Storage 194731 - RawData - F:\201701009\2017-2896\3.spc"
"²¨³¤(nm)","T%"
397.00,94.583
397.50,94.670
398.00,94.612
398.50,94.495
399.00,94.466
399.50,94.635
400.00,94.731
400.50,94.798
401.00,94.969
401.50,95.168
402.00,95.297
402.50,95.383
403.00,95.465
403.50,95.341
404.00,95.317
404.50,95.239
405.00,95.029
405.50,95.079
406.00,95.261
406.50,95.384
407.00,95.518
407.50,95.486
408.00,95.271
408.50,95.299
409.00,95.377
409.50,95.351
410.00,95.311
410.50,95.128
411.00,95.015
411.50,95.107
412.00,95.490
412.50,95.882
413.00,96.097
413.50,96.199
414.00,95.944
414.50,95.808
415.00,95.660
415.50,95.526
416.00,95.624
416.50,95.636
417.00,95.763
417.50,95.930
418.00,96.022
418.50,96.190
419.00,96.236
419.50,96.257
420.00,96.323
420.50,96.341
421.00,96.437
421.50,96.413
422.00,96.312
422.50,96.281
423.00,96.317
423.50,96.303
424.00,96.339
424.50,96.301
425.00,96.411
425.50,96.558
426.00,96.687
426.50,96.750
427.00,96.620
427.50,96.623
428.00,96.582
428.50,96.564
429.00,96.527
429.50,96.533
430.00,96.507
430.50,96.455
431.00,96.498
431.50,96.455
432.00,96.474
432.50,96.414
433.00,96.434
433.50,96.410
434.00,96.472
434.50,96.605
435.00,96.675
435.50,96.786
436.00,96.768
436.50,96.823
437.00,96.750
437.50,96.748
438.00,96.828
438.50,96.828
439.00,96.806
439.50,96.829
440.00,96.725
440.50,96.559
441.00,96.632
441.50,96.550
442.00,96.629
442.50,96.768
443.00,96.815
443.50,96.791
444.00,96.790
444.50,96.823
445.00,96.805
445.50,96.838
446.00,96.773
446.50,96.707
447.00,96.687
447.50,96.791
448.00,96.889
448.50,96.982
449.00,96.909
449.50,96.883
450.00,96.939
450.50,96.954
451.00,97.116
451.50,97.090
452.00,97.002
452.50,97.055
453.00,97.026
453.50,97.046
454.00,97.099
454.50,97.130
455.00,97.134
455.50,97.119
456.00,97.075
456.50,96.944
457.00,97.040
457.50,97.041
458.00,97.037
458.50,97.107
459.00,96.979
459.50,96.977
460.00,96.901
460.50,96.851
461.00,96.806
461.50,96.831
462.00,96.878
462.50,96.867
463.00,96.814
463.50,96.773
464.00,96.809
464.50,96.869
465.00,97.015
465.50,97.179
466.00,97.217
466.50,97.308
467.00,97.281
467.50,97.247
468.00,97.260
468.50,97.243
469.00,97.321
469.50,97.333
470.00,97.350
470.50,97.250
471.00,97.261
471.50,97.267
472.00,97.189
472.50,97.218
473.00,97.037
473.50,96.886
474.00,96.996
474.50,96.979
475.00,97.110
475.50,97.194
476.00,97.137
476.50,97.188
477.00,97.258
477.50,97.194
478.00,97.285
478.50,97.334
479.00,97.267
479.50,97.357
480.00,97.339
480.50,97.421
481.00,97.466
481.50,97.504
482.00,97.551
482.50,97.476
483.00,97.430
483.50,97.462
484.00,97.331
484.50,97.307
485.00,97.292
485.50,97.276
486.00,97.333
486.50,97.321
487.00,97.328
487.50,97.362
488.00,97.493
488.50,97.495
489.00,97.609
489.50,97.589
490.00,97.539
490.50,97.620
491.00,97.684
491.50,97.688
492.00,97.636
492.50,97.562
493.00,97.440
493.50,97.415
494.00,97.504
494.50,97.507
495.00,97.563
495.50,97.525
496.00,97.397
496.50,97.424
497.00,97.253
497.50,97.281
498.00,97.243
498.50,97.205
499.00,97.354
499.50,97.356
500.00,97.447
500.50,97.452
501.00,97.380
501.50,97.339
502.00,97.272
502.50,97.264
503.00,97.290
503.50,97.301
504.00,97.447
504.50,97.501
505.00,97.563
505.50,97.681
506.00,97.659
506.50,97.693
507.00,97.729
507.50,97.647
508.00,97.502
508.50,97.493
509.00,97.412
509.50,97.401
510.00,97.379
510.50,97.386
511.00,97.348
511.50,97.336
512.00,97.493
512.50,97.516
513.00,97.664
513.50,97.749
514.00,97.823
514.50,97.717
515.00,97.626
515.50,97.600
516.00,97.530
516.50,97.655
517.00,97.720
517.50,97.691
518.00,97.705
518.50,97.638
519.00,97.574
519.50,97.710
520.00,97.784
520.50,97.798
521.00,97.832
521.50,97.813
522.00,97.672
522.50,97.691
523.00,97.800
523.50,97.798
524.00,97.937
524.50,98.059
525.00,97.969
525.50,97.820
526.00,97.571
526.50,97.530
527.00,97.520
527.50,97.566
528.00,97.818
528.50,97.807
529.00,97.874
529.50,98.026
530.00,97.935
530.50,97.906
531.00,97.824
531.50,97.719
532.00,97.734
532.50,97.816
533.00,97.894
533.50,98.051
534.00,98.033
534.50,97.987
535.00,98.111
535.50,98.044
536.00,98.058
536.50,98.026
537.00,97.781
537.50,97.653
538.00,97.679
538.50,97.697
539.00,97.867
539.50,97.998
540.00,98.026
540.50,98.080
541.00,98.109
541.50,98.055
542.00,98.061
542.50,98.021
543.00,98.006
543.50,98.044
544.00,98.030
544.50,98.148
545.00,98.175
545.50,98.233
546.00,98.315
546.50,98.235
547.00,98.170
547.50,98.135
548.00,98.094
548.50,98.100
549.00,98.164
549.50,98.164
550.00,98.239
550.50,98.300
551.00,98.299
551.50,98.277
552.00,98.189
552.50,98.219
553.00,98.254
553.50,98.322
554.00,98.352
554.50,98.277
555.00,98.108
555.50,98.050
556.00,98.055
556.50,98.010
557.00,98.108
557.50,98.213
558.00,98.303
558.50,98.360
559.00,98.318
559.50,98.216
560.00,98.114
560.50,98.128
561.00,98.160
561.50,98.204
562.00,98.257
562.50,98.260
563.00,98.277
563.50,98.238
564.00,98.187
564.50,98.190
565.00,98.207
565.50,98.276
566.00,98.201
566.50,98.091
567.00,98.151
567.50,98.207
568.00,98.338
568.50,98.457
569.00,98.444
569.50,98.380
570.00,98.441
570.50,98.438
571.00,98.415
571.50,98.454
572.00,98.486
572.50,98.497
573.00,98.544
573.50,98.529
574.00,98.488
574.50,98.602
575.00,98.621
575.50,98.674
576.00,98.755
576.50,98.724
577.00,98.810
577.50,98.807
578.00,98.712
578.50,98.755
579.00,98.689
579.50,98.640
580.00,98.648
580.50,98.550
581.00,98.492
581.50,98.474
582.00,98.505
582.50,98.499
583.00,98.546
583.50,98.645
584.00,98.584
584.50,98.579
585.00,98.605
585.50,98.576
586.00,98.656
586.50,98.691
587.00,98.691
587.50,98.654
588.00,98.505
588.50,98.412
589.00,98.260
589.50,98.210
590.00,98.296
590.50,98.332
591.00,98.543
591.50,98.512
592.00,98.535
592.50,98.660
593.00,98.584
593.50,98.680
594.00,98.688
594.50,98.581
595.00,98.532
595.50,98.531
596.00,98.659
596.50,98.717
597.00,98.807
597.50,98.820
598.00,98.651
598.50,98.610
599.00,98.599
599.50,98.610
600.00,98.782
600.50,98.830
601.00,98.880
601.50,98.853
602.00,98.877
602.50,98.891
603.00,98.790
603.50,98.770
604.00,98.640
604.50,98.636
605.00,98.746
605.50,98.775
606.00,98.772
606.50,98.756
607.00,98.740
607.50,98.692
608.00,98.576
608.50,98.581
609.00,98.427
609.50,98.424
610.00,98.506
610.50,98.474
611.00,98.601
611.50,98.688
612.00,98.781
612.50,98.738
613.00,98.747
613.50,98.764
614.00,98.767
614.50,98.949
615.00,99.028
615.50,99.063
616.00,99.059
616.50,99.020
617.00,98.854
617.50,98.825
618.00,98.721
618.50,98.657
619.00,98.743
619.50,98.807
620.00,98.933
620.50,99.062
621.00,99.133
621.50,99.113
622.00,99.153
622.50,99.112
623.00,99.092
623.50,99.232
624.00,99.113
624.50,99.123
625.00,99.083
625.50,98.875
626.00,98.962
626.50,98.819
627.00,98.792
627.50,98.749
628.00,98.672
628.50,98.682
629.00,98.618
629.50,98.557
630.00,98.384
630.50,98.274
631.00,98.189
631.50,98.260
632.00,98.380
632.50,98.534
633.00,98.714
633.50,98.836
634.00,98.984
634.50,98.967
635.00,98.947
635.50,98.795
636.00,98.758
636.50,98.895
637.00,98.891
637.50,99.063
638.00,99.129
638.50,98.973
639.00,99.063
639.50,98.923
640.00,98.759
640.50,98.833
641.00,98.701
641.50,98.785
642.00,98.753
642.50,98.730
643.00,98.871
643.50,98.842
644.00,98.953
644.50,98.991
645.00,98.897
645.50,98.827
646.00,98.788
646.50,98.734
647.00,98.717
647.50,98.773
648.00,98.811
648.50,98.930
649.00,98.898
649.50,99.039
650.00,99.057
650.50,99.014
651.00,99.083
651.50,98.978
652.00,98.984
652.50,99.054
653.00,99.135
653.50,99.185
654.00,99.240
654.50,99.117
655.00,99.117
655.50,99.007
656.00,98.932
656.50,98.912
657.00,98.817
657.50,98.805
658.00,98.753
658.50,98.772
659.00,98.685
659.50,98.746
660.00,98.950
660.50,99.016
661.00,99.243
661.50,99.242
662.00,99.031
662.50,98.932
663.00,98.892
663.50,98.997
664.00,98.988
664.50,99.139
665.00,99.132
665.50,99.110
666.00,99.248
666.50,99.141
667.00,99.139
667.50,99.113
668.00,99.084
668.50,99.232
669.00,99.152
669.50,99.017
670.00,99.025
670.50,98.871
671.00,98.769
671.50,98.811
672.00,98.712
672.50,98.657
673.00,98.672
673.50,98.784
674.00,98.869
674.50,98.912
675.00,99.057
675.50,99.008
676.00,99.063
676.50,99.133
677.00,99.077
677.50,99.107
678.00,99.161
678.50,99.199
679.00,99.315
679.50,99.257
680.00,99.223
680.50,99.184
681.00,99.117
681.50,99.174
682.00,99.118
682.50,99.260
683.00,99.214
683.50,99.242
684.00,99.326
684.50,99.313
685.00,99.373
685.50,99.425
686.00,99.248
686.50,99.100
687.00,99.095
687.50,98.975
688.00,98.955
688.50,98.920
689.00,98.993
689.50,99.107
690.00,99.246
690.50,99.242
691.00,99.141
691.50,99.060
692.00,98.943
692.50,98.955
693.00,98.984
693.50,98.952
694.00,99.052
694.50,99.030
695.00,98.930
695.50,99.051
696.00,99.117
696.50,99.229
697.00,99.295
697.50,99.217
698.00,99.159
698.50,99.203
699.00,99.310
699.50,99.437
700.00,99.210
700.50,98.976
701.00,98.846
701.50,98.593
702.00,98.859
702.50,99.049
703.00,99.187
703.50,99.445
704.00,99.489
704.50,99.651
705.00,99.730
705.50,99.678
706.00,99.580
706.50,99.454
707.00,99.271
707.50,99.251
708.00,99.416
708.50,99.496
709.00,99.547
709.50,99.466
710.00,99.176
710.50,98.912
711.00,98.874
711.50,99.019
712.00,99.214
712.50,99.426
713.00,99.489
713.50,99.405
714.00,99.471
714.50,99.298
715.00,99.196
715.50,99.225
716.00,99.124
716.50,99.202
717.00,99.374
717.50,99.232
718.00,99.117
718.50,99.095
719.00,99.205
719.50,99.228
720.00,99.327
720.50,99.400
721.00,99.094
721.50,99.228
722.00,99.301
722.50,99.440
723.00,99.551
723.50,99.341
724.00,99.283
724.50,99.118
725.00,99.197
725.50,99.393
726.00,99.458
726.50,99.535
727.00,99.445
727.50,99.446
728.00,99.409
728.50,99.475
729.00,99.701
729.50,99.799
730.00,99.945
730.50,99.858
731.00,99.715
731.50,99.673
732.00,99.582
732.50,99.870
733.00,99.956
733.50,99.846
734.00,99.776
734.50,99.385
735.00,99.301
735.50,99.245
736.00,99.290
736.50,99.263
737.00,99.272
737.50,99.287
738.00,99.193
738.50,99.329
739.00,99.178
739.50,99.527
740.00,99.745
740.50,100.119
741.00,100.363
741.50,100.171
742.00,100.003
742.50,99.600
743.00,99.507
743.50,99.451
744.00,99.626
744.50,99.644
745.00,99.460
745.50,99.347
746.00,98.930
746.50,98.631
747.00,98.511
747.50,98.508
748.00,98.666
748.50,99.034
749.00,99.335
749.50,99.487
750.00,99.733
750.50,99.623
751.00,99.565
751.50,99.377
752.00,99.088
752.50,99.167
753.00,99.167
753.50,99.467
754.00,99.788
754.50,99.945
755.00,100.137
755.50,99.918
756.00,99.376
756.50,99.188
757.00,98.882
757.50,98.930
758.00,99.496
758.50,99.623
759.00,99.646
759.50,99.399
760.00,99.220
760.50,99.242
761.00,99.294
761.50,99.706
762.00,99.860
762.50,99.658
763.00,99.881
763.50,99.704
764.00,99.590
764.50,99.556
765.00,99.348
765.50,99.373
766.00,99.399
766.50,99.513
767.00,99.611
767.50,99.544
768.00,99.622
768.50,99.428
769.00,99.187
769.50,99.211
770.00,99.020
